[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 台灣無法大罷工，因人民愚昧自私-[Author]enel1111 (私法制裁者)[Date]Mon Jul  6 22-07-12.txt[reson]time data u'Mon Jul  6 22:07:12' does not match format '%a %b %d %H:%M:%S %Y'
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 台灣的低薪現象還有得救嗎-[Author]freeunixer (離自相空她相)[Date]Mon Jul  6 00-18-10 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 台灣給英國殖民會比星港還強嗎？[Author]ComeThrough (☁)[Date]Tue Jul  7 21-47-32 2015.txt[reson]'cp950' codec can't encode character u'\u2601' in position 96: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 國文有語感這種東西嗎-[Author]zhtw (爲智畏謀)[Date]Thu Jul  2 22-59-25 2015.txt[reson]'cp950' codec can't encode character u'\u7232' in position 85: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 大陸這麼硬卻讓外蒙古獨立的八卦？[Author]hk416 (☑洨魯 ☜)[Date]Thu Jul  2 00-03-36 2015.txt[reson]'cp950' codec can't encode character u'\u2611' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 如果台灣宣布獨立 中國真的敢開戰嗎-[Author]Gakura (尬窟辣)[Date]Sun Jul  5 08-23-42 2015.txt[reson]time data u'2015/' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 小茉莉為什麼這麼甜-[Author]ComeThrough (☁)[Date]Mon Jul  6 00-24-33 2015.txt[reson]'cp950' codec can't encode character u'\u2601' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 工地做粗工要準備或注意什麼-[Author]ceca (生活藝術大師￼  ￼N￼)[Date]Sat Jul  4 18-04-56 2015.txt[reson]'cp950' codec can't encode character u'\ufffc' in position 94: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 希臘放棄歐元會變怎樣的八卦？[Author]RaphaelJr (Raphaël)[Date]Thu Jul  2 22-25-38 2015.txt[reson]'cp950' codec can't encode character u'\xeb' in position 98: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 怎麼麻醉自己-[Author]m2488663 (碧潭西岸辺露伴)[Date]Thu Jul  2 21-06-52 2015.txt[reson]'cp950' codec can't encode character u'\u8fba' in position 89: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 想住新加坡還是台灣---[Author]ceca (生活藝術大師￼  ￼N￼)[Date]Tue Jul  7 14-13-44 2015.txt[reson]'cp950' codec can't encode character u'\ufffc' in position 92: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 成功大學是學店嗎-[Author]shaichi5566 (鞋志™)[Date]Tue Jul  7 13-44-13 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 92: illegal multibyte sequence
